# vim: set shiftwidth=24 tabstop=24 nowrap:
# Adapted from Campbell L. 2013. Historical Linguistics. An Introduction. Edinburgh University Press. Pp. 136f.

ID	GREEK	LATIN	GOTHIC	ENGLISH
1	a|g|-|r|ó|s	a|g|e|r|-|-	a|k|-|r|-|s	eɪ|k|ə|-|-|-
2	d|é|k|a|-	d|e|k|e|m	t|e|h|u|n	t|e|-|-|n
3	g|é|n|o|s	g|e|n|u|s	k|u|n|i|-	k|ɪ|n|-|-
4	h|e|p|t|á|-	s|e|p|t|e|m	s|i|β|-|u|n	s|e|v|-|ə|n
5	k|a|-|t|-|ó|n	k|e|n|t|-|u|m	h|u|n|d|-|a|-	h|ʌ|n|d|r|ə|d
6	k|úō|n|-|-	k|a|n|i|s	h|u|n|d|s	h|aʊ|n|d|-
7	o|d|ó|n|t|-|-	-|d|e|n|t|-|-	-|t|u|n|θ|u|s	-|t|uː|-|θ|-|-
8	p|a|t|ḗ|r	p|a|t|e|r	f|a|δ|a|r	f|ɑː|ð|ə|-
9	p|o|d|-|-	p|e|t|-|-	f|ō|t|u|s	f|ʊ|t|-|-
10	t|r|e|ī|s	t|r|ē|-|s	θ|r|i|j|a	θ|r|iː|-|-
11	t|ū	t|u	θ|u	ð|aʊ
12	w|oī|d|a|-	v|i|d|e|ō	w|ái|t|-|-	w|i|t|-|-
